Epoch,Accuracy
0,0.458970792767733
1,0.458970792767733
2,0.458970792767733
3,0.46036161335187764
4,0.46036161335187764
5,0.458970792767733
6,0.458970792767733
7,0.458970792767733
8,0.458970792767733
9,0.458970792767733
10,0.458970792767733
11,0.46036161335187764
12,0.458970792767733
13,0.4617524339360223
14,0.4659248956884562
15,0.458970792767733
16,0.4659248956884562
17,0.4631432545201669
18,0.458970792767733
19,0.4631432545201669
20,0.46453407510431155
21,0.4673157162726008
22,0.458970792767733
23,0.4673157162726008
24,0.4673157162726008
25,0.46453407510431155
26,0.458970792767733
27,0.4673157162726008
28,0.4673157162726008
29,0.46453407510431155
30,0.458970792767733
31,0.47566063977746875
32,0.47148817802503473
33,0.4700973574408901
34,0.47148817802503473
35,0.4673157162726008
36,0.47148817802503473
37,0.4659248956884562
38,0.46036161335187764
39,0.46036161335187764
40,0.4700973574408901
41,0.4770514603616134
42,0.47148817802503473
43,0.4673157162726008
44,0.46036161335187764
45,0.4631432545201669
46,0.4631432545201669
47,0.4631432545201669
48,0.4673157162726008
49,0.4631432545201669
50,0.46870653685674546
51,0.46453407510431155
52,0.4659248956884562
53,0.47287899860917937
54,0.47148817802503473
55,0.4631432545201669
56,0.46870653685674546
57,0.4742698191933241
58,0.4742698191933241
59,0.47566063977746875
60,0.47566063977746875
61,0.4617524339360223
62,0.4770514603616134
63,0.47566063977746875
64,0.4631432545201669
65,0.47148817802503473
66,0.4631432545201669
67,0.478442280945758
68,0.47983310152990266
69,0.4617524339360223
70,0.4770514603616134
71,0.48261474269819193
72,0.48261474269819193
73,0.4853963838664812
74,0.47287899860917937
75,0.47983310152990266
76,0.4770514603616134
77,0.48400556328233657
78,0.4631432545201669
79,0.4853963838664812
80,0.4617524339360223
81,0.47983310152990266
82,0.4895688456189151
83,0.4700973574408901
84,0.4700973574408901
85,0.46870653685674546
86,0.47983310152990266
87,0.4923504867872045
88,0.4659248956884562
89,0.478442280945758
90,0.478442280945758
91,0.4659248956884562
92,0.4659248956884562
93,0.47287899860917937
94,0.48400556328233657
95,0.48261474269819193
96,0.4853963838664812
97,0.4923504867872045
98,0.48400556328233657
99,0.4881780250347705
