Epoch,Accuracy
0,0.533195020746888
1,0.5347510373443983
2,0.5352697095435685
3,0.5368257261410788
4,0.5368257261410788
5,0.5368257261410788
6,0.5370850622406639
7,0.5373443983402489
8,0.5370850622406639
9,0.5378630705394191
10,0.5378630705394191
11,0.537603734439834
12,0.5378630705394191
13,0.5378630705394191
14,0.5378630705394191
15,0.537603734439834
16,0.537603734439834
17,0.537603734439834
18,0.5386410788381742
19,0.5383817427385892
20,0.5381224066390041
21,0.5383817427385892
22,0.5386410788381742
23,0.5386410788381742
24,0.5386410788381742
25,0.5391597510373445
26,0.5391597510373445
27,0.5394190871369295
28,0.5389004149377593
29,0.5389004149377593
30,0.5394190871369295
31,0.5394190871369295
32,0.5394190871369295
33,0.5396784232365146
34,0.5396784232365146
35,0.5396784232365146
36,0.5394190871369295
37,0.5401970954356847
38,0.5396784232365146
39,0.5401970954356847
40,0.5401970954356847
41,0.5399377593360997
42,0.5399377593360997
43,0.5399377593360997
44,0.5394190871369295
45,0.5396784232365146
46,0.5394190871369295
47,0.5396784232365146
48,0.5394190871369295
49,0.5391597510373445
50,0.5394190871369295
51,0.5389004149377593
52,0.5394190871369295
53,0.5394190871369295
54,0.5391597510373445
55,0.5394190871369295
56,0.5394190871369295
57,0.5394190871369295
58,0.5394190871369295
59,0.5394190871369295
60,0.5394190871369295
61,0.5394190871369295
62,0.5394190871369295
63,0.5396784232365146
64,0.5399377593360997
65,0.5399377593360997
66,0.5399377593360997
67,0.5399377593360997
68,0.5399377593360997
69,0.5396784232365146
70,0.5399377593360997
71,0.5399377593360997
72,0.5399377593360997
73,0.5399377593360997
74,0.5399377593360997
75,0.5399377593360997
76,0.5399377593360997
77,0.5399377593360997
78,0.5399377593360997
79,0.5399377593360997
80,0.5399377593360997
81,0.5399377593360997
82,0.5399377593360997
83,0.5399377593360997
84,0.5399377593360997
85,0.5399377593360997
86,0.5399377593360997
87,0.5399377593360997
88,0.5396784232365146
89,0.5399377593360997
90,0.5401970954356847
91,0.5401970954356847
92,0.5399377593360997
93,0.5399377593360997
94,0.5401970954356847
95,0.5401970954356847
96,0.5401970954356847
97,0.5401970954356847
98,0.5401970954356847
99,0.5401970954356847
